id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
135,2023-11-09 21:49:30.651508+00:00,,t,ascending,6B_u,73329043743113692,648518346499248705,[ 36904 143920   3823]
19,2023-11-08 06:09:33.710486+00:00,,t,intrinsic,t3_uk,74034172347414797,648518346486789423,[ 57832 188160     75]
42,2023-11-08 21:23:21.682754+00:00,,t,intrinsic,17A,72483930074908831,648518346507394079,[ 13280 123325    893]
247,2023-11-12 21:51:33.034923+00:00,,t,mn,neck_L,73115875187899124,648518346484928077,[30882 83463  2338]
110,2023-11-09 02:45:19.208146+00:00,,t,local,3B,72413356447262785,648518346466254896,[ 10464 117976   3311]
651,2023-11-15 18:40:09.307346+00:00,,t,local,19B,73329248357649833,648518346497180056,[ 38088 150632    778]
34,2023-11-08 21:23:21.678118+00:00,,t,intrinsic,12B,73400442004244535,648518346487036668,[ 40789 175710   1336]
93,2023-11-09 02:45:19.197479+00:00,,t,intrinsic,hlx16,72343125007373568,648518346495875490,[  9768 122664   2992]
46,2023-11-08 21:23:21.685181+00:00,,t,intrinsic,8B,72483862764415251,648518346467412743,[ 13520 122152   3500]
124,2023-11-09 05:48:05.341553+00:00,,t,ascending,12B,73048941679515628,648518346509890249,[ 28824 185424    980]
155,2023-11-10 05:37:14.759101+00:00,,t,ascending,5B,73047500113948984,648518346484529703,[ 29424 142400   3917]
9,2023-11-08 06:09:33.704134+00:00,,t,intrinsic,17A,72413767623112847,648518346499736414,[ 11624 129032   1098]
90,2023-11-09 02:45:19.195422+00:00,,t,intrinsic,hlx16,72343193592560315,648518346495875746,[  9340 123304   2714]
3,2023-11-08 06:09:33.700257+00:00,,t,intrinsic,17A,72413561263513950,648518346486716849,[ 11696 123000    771]
182,2023-11-11 01:33:53.550204+00:00,,t,intrinsic,19B,73329179504185789,648518346491865918,[ 37264 149368    569]
146,2023-11-10 05:37:14.753204+00:00,,t,local,7B,72695243807989983,648518346493047794,[ 19960 131040   3461]
148,2023-11-10 05:37:14.754657+00:00,,t,local,17A,72483998794094907,648518346490469384,[ 14064 125008    842]
149,2023-11-10 05:37:14.755320+00:00,,t,intrinsic,t3_uk,73963803737689689,648518346486573025,[ 56576 187528    323]
131,2023-11-09 21:49:30.648661+00:00,,t,intrinsic,5B,73471085559247825,648518346494997411,[ 41264 182680   1270]
151,2023-11-10 05:37:14.756578+00:00,,t,local,hlx16,72413562337105568,648518346495646882,[ 10352 122880   2781]
152,2023-11-10 05:37:14.757226+00:00,,t,intrinsic,5B_u,72836737344492041,648518346465928240,[ 23800 153168   3623]
145,2023-11-10 05:37:14.752500+00:00,,t,intrinsic,12B,73470124694190680,648518346480595259,[ 41440 153880   3468]
199,2023-11-11 02:14:08.262440+00:00,,t,ascending,17A,72272824245057247,648518346497825639,[  8048 123504   1671]
200,2023-11-11 02:14:08.263107+00:00,,t,mn,b3,72484137441036366,648518346483464638,[ 14104 129624   3146]
119,2023-11-09 05:48:05.337267+00:00,,t,intrinsic,5B_u,72907242789669958,648518346491886248,[ 25232 156832   2296]
